read, Reserved word
x, Identifier
;, Special Symbol
if, Reserved word
0, Number
<, Special Symbol
x, Identifier
then, Reserved word
fact, Identifier
:=, Special Symbol
1, Number
;, Special Symbol
repeat, Reserved word
fact, Identifier
:=, Special Symbol
fact, Identifier
*, Special Symbol
x, Identifier
;, Special Symbol
x, Identifier
:=, Special Symbol
x, Identifier
-, Special Symbol
1, Number
until, Reserved word
x, Identifier
=, Special Symbol
0, Number
;, Special Symbol
write, Reserved word
fact, Identifier
end, Reserved word
